msg_id,conv_id,conv_turn,sender_user_id,receiver_user_id,sent_at,text,answer
da909b73-688c-47fe-8c51-ce2f122a2736,chat:u_barbara_u_maayan_student_magshimim,1,u_maayan_student_magshimim,u_barbara,2025-01-06 17:37:39,"Hi, if it's possible to be a few minutes late, I had a delay here","Yes, yes
One minute
Maayan, something embarrassing happened to me, my computer isn't working and in addition to that, everything was erased from my WhatsApp
I'll transfer your defense to another date, sorryyyy
But could you send me the link to the file because I don't have it
I apologize very much, I'm having a jinxed week"
ddb46ea7-b3a7-4803-8404-423c49ccfbca,chat:u_barbara_u_maayan_student_magshimim,2,u_barbara,u_maayan_student_magshimim,2025-01-06 17:41:31,"Yes, yes
One minute
Maayan, something embarrassing happened to me, my computer isn't working and in addition to that, everything was erased from my WhatsApp
I'll transfer your defense to another date, sorryyyy
But could you send me the link to the file because I don't have it
I apologize very much, I'm having a jinxed week","Okay
Regarding homework 10, I got stuck debugging, and then when I did fix it, their code didn't work, so it's good you gave me an extension"
0c090651-7983-4a69-938a-0a53d41ce470,chat:u_barbara_u_maayan_student_magshimim,3,u_maayan_student_magshimim,u_barbara,2025-01-06 17:51:04,"Okay
Regarding homework 10, I got stuck debugging, and then when I did fix it, their code didn't work, so it's good you gave me an extension","There's a part, one minute
Check if this is it"
bf35a2dd-5444-484d-99ff-b57ab7b20c2c,chat:u_barbara_u_maayan_student_magshimim,4,u_barbara,u_maayan_student_magshimim,2025-01-06 18:24:15,"There's a part, one minute
Check if this is it","I just got a moment to write this, sorry"
0db5bc6f-179e-46c1-8ba0-6c2f3e296082,chat:u_barbara_u_maayan_student_magshimim,5,u_maayan_student_magshimim,u_barbara,2025-01-06 18:24:21,"I just got a moment to write this, sorry","Oh, ugh, I don't have any messages on WhatsApp at all...
Check with Aviv for a minute
I sent him about a piece of code that wasn't working
Have him send it to you, check if that's the one"
e9ee7e71-c222-4cba-9a7f-8f825fe5b292,chat:u_barbara_u_maayan_student_magshimim,6,u_barbara,u_maayan_student_magshimim,2025-01-06 18:24:36,"Oh, ugh, I don't have any messages on WhatsApp at all...
Check with Aviv for a minute
I sent him about a piece of code that wasn't working
Have him send it to you, check if that's the one","No, it's probably me because after a certain stage I stopped receiving the numbers they said I was supposed to receive"
931804e6-55ac-4263-906b-5a9466ad1700,chat:u_barbara_u_maayan_student_magshimim,7,u_maayan_student_magshimim,u_barbara,2025-01-06 18:24:56,"No, it's probably me because after a certain stage I stopped receiving the numbers they said I was supposed to receive","Okay, good"
8a980c78-c9db-4872-aa61-971f13753583,chat:u_barbara_u_maayan_student_magshimim,8,u_barbara,u_maayan_student_magshimim,2025-01-06 18:25:08,"Okay, good","I don't know, that last function complicated things for me
Hi, I fixed my code but I'm still getting errors
From what I researched, pandas removed `append` and that's the error I'm getting"
e4110d24-505f-4a60-8a26-6f4da8b4e329,chat:u_barbara_u_maayan_student_magshimim,9,u_maayan_student_magshimim,u_barbara,2025-01-06 18:25:23,"I don't know, that last function complicated things for me
Hi, I fixed my code but I'm still getting errors
From what I researched, pandas removed `append` and that's the error I'm getting","‎audio omitted
‎audio omitted"
a433680e-0bff-4b81-a91f-f05eaf6c51e1,chat:u_barbara_u_maayan_student_magshimim,10,u_barbara,u_maayan_student_magshimim,2025-01-07 23:24:48,"‎audio omitted
‎audio omitted","So what do I do because my code doesn't have `append`, otherwise it wouldn't have worked either"
